name,imageURL,scientific_name,description,origin,growing_conditions,planting_info,care_instructions,storage_info,nutritional_info,culinary_info
Tomato,https://images.pexels.com/photos/1327838/pexels-photo-1327838.jpeg,Solanum lycopersicum,"Edible fruit, typically red, with a juicy flesh.",South America,"Warm, sunny conditions",Sow seeds directly or transplant seedlings.,"Water regularly, harvest when ripe and firm.",Refrigerate.,"Vitamins A, C, lycopene.","Salads, sauces, cooked dishes"
Spinach,https://images.pexels.com/photos/3298064/pexels-photo-3298064.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Spinacia oleracea,Leafy green vegetable rich in vitamins and minerals.,Persia,"Cool, well-drained soil",Sow seeds directly or transplant seedlings.,"Water regularly, harvest leaves as needed.",Refrigerate in a plastic bag.,"Vitamins A, C, K, iron, folate.","Salads, soups, cooked greens."
Okra,https://images.pexels.com/photos/2583187/pexels-photo-2583187.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Abelmoschus esculentus,Pod vegetable with a slightly slimy texture.,Ethiopia,"Warm, sunny conditions",Sow seeds directly after last frost.,"Water regularly, harvest pods when young.",Refrigerate or freeze.,"Vitamins A, C, K, fiber.","Gumbo, stews, fried okra."
Mint,https://images.pexels.com/photos/4621597/pexels-photo-4621597.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Mentha spp.,Aromatic herb with a cooling sensation.,Mediterranean,"Cool, moist soil",Plant cuttings or divisions.,"Water regularly, harvest leaves as needed.",Refrigerate or dry.,"Vitamins A, C, iron.","Mints, teas, sauces."
Chilli,https://images.pexels.com/photos/2894234/pexels-photo-2894234.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Capsicum annuum,Spicy fruit used for flavoring.,Americas,"Warm, sunny conditions","Sow seeds indoors, transplant seedlings.","Water regularly, harvest when ripe.","Dry, pickle, or freeze.","Vitamins A, C, capsaicin.","Curries, sauces, spicy dishes."
Brinjal,https://images.pexels.com/photos/321551/pexels-photo-321551.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Solanum melongena,Fleshy fruit used as a vegetable.,India,"Warm, sunny conditions","Sow seeds indoors, transplant seedlings.","Water regularly, harvest when glossy.",Refrigerate.,"Vitamins K, fiber, antioxidants.","Curries, stews, roasted."
Cucumber,https://images.pexels.com/photos/2329440/pexels-photo-2329440.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Cucumis sativus,Hydrating fruit eaten fresh or pickled.,India,"Warm, sunny conditions",Sow seeds directly or transplant seedlings.,"Water regularly, harvest when mature.",Refrigerate.,"Vitamins K, C, potassium.","Salads, pickles, sandwiches."
Coriander,https://images.pexels.com/photos/3338495/pexels-photo-3338495.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Coriandrum sativum,Aromatic herb with a citrusy flavor.,Mediterranean,"Cool, moist soil",Sow seeds directly.,"Water regularly, harvest leaves and seeds.",Refrigerate or dry.,"Vitamins A, C, K.","Curries, salsas, garnishes."
Radish,https://images.pexels.com/photos/191043/pexels-photo-191043.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Raphanus sativus,Crisp root vegetable with a peppery flavor.,Asia,"Cool, well-drained soil",Sow seeds directly.,"Water regularly, harvest when mature.",Refrigerate.,"Vitamins C, fiber.","Salads, snacks."
Beans,https://images.pexels.com/photos/3004798/pexels-photo-3004798.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Phaseolus vulgaris,Legumes rich in protein and fiber.,Americas,"Warm, sunny conditions",Sow seeds directly after last frost.,"Water regularly, harvest when pods are tender.",Refrigerate or freeze.,"Protein, fiber, iron.","Soups, stews, side dishes."
Pumpkin,https://images.pexels.com/photos/265258/pexels-photo-265258.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Cucurbita pepo,"Large, orange fruit used in pies and soups.",North America,"Warm, sunny conditions",Sow seeds directly or transplant seedlings.,"Water regularly, harvest when mature.","Store in a cool, dry place.","Vitamins A, C, potassium.","Pies, soups, roasted."
Bottle Gourd,https://images.pexels.com/photos/27548029/pexels-photo-27548029/free-photo-of-a-gourd-hanging-from-a-vine-with-leaves.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Lagenaria siceraria,"Long, green vegetable with a mild flavor.",Africa,"Warm, sunny conditions",Sow seeds directly.,"Water regularly, harvest when mature.","Store in a cool, dry place.","Vitamins C, fiber.","Curries, soups, juices."
Fenugreek,https://images.pexels.com/photos/5987968/pexels-photo-5987968.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Trigonella foenum-graecum,Herb with a maple-like aroma and flavor.,Mediterranean,"Cool, well-drained soil",Sow seeds directly.,"Water regularly, harvest leaves and seeds.",Dry.,"Vitamins, minerals.","Curries, teas, medicinal uses."
Carrot,https://images.pexels.com/photos/65174/pexels-photo-65174.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Daucus carota subsp. sativus,Root vegetable rich in beta-carotene.,Asia,"Cool, well-drained soil",Sow seeds directly.,"Water regularly, harvest when mature.",Refrigerate.,"Vitamins A, K, fiber.","Salads, soups, snacks."
Lemon,https://images.pexels.com/photos/129574/pexels-photo-129574.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Citrus limon,"Citrus fruit with a sour, acidic flavor.",Asia,"Warm, sunny conditions",Plant seedlings or cuttings.,"Water regularly, harvest when ripe.",Refrigerate.,"Vitamin C, citric acid.","Juices, sauces, flavoring."
Banana,https://images.pexels.com/photos/1093038/pexels-photo-1093038.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Musa acuminata,Tropical fruit rich in potassium.,Southeast Asia,"Warm, humid conditions",Plant suckers or tissue culture plants.,"Water regularly, harvest when mature.",Store at room temperature.,"Potassium, vitamin B6, fiber.","Eaten raw, smoothies, baked goods."
